    Step   Residual-2-norm     Threshold      Energy
        1     1.08772e+00     1.00000e-07          -8.57169e-02
        2     1.01822e+00     1.00000e-07          -4.28920e-01
        3     5.34030e-01     1.03518e-07          -1.03518e+00
        4     3.35646e-01     1.41311e-07          -1.41311e+00
        5     3.33408e-01     1.58656e-07          -1.58656e+00
        6     1.84266e-01     1.66400e-07          -1.66400e+00
        7     1.59666e-01     1.69736e-07          -1.69736e+00
        8     1.69571e-01     1.73441e-07          -1.73441e+00
        9     1.01239e-01     1.76361e-07          -1.76361e+00
       10     3.92101e-02     1.77195e-07          -1.77195e+00
       11     3.84037e-02     1.77478e-07          -1.77478e+00
       12     2.79704e-02     1.77653e-07          -1.77653e+00
       13     1.23350e-02     1.77725e-07          -1.77725e+00
       14     6.52674e-03     1.77743e-07          -1.77743e+00
       15     3.73437e-03     1.77751e-07          -1.77751e+00
       16     2.92631e-03     1.77753e-07          -1.77753e+00
       17     2.90773e-03     1.77754e-07          -1.77754e+00
       18     9.12971e-04     1.77755e-07          -1.77755e+00
       19     5.26202e-04     1.77755e-07          -1.77755e+00
       20     1.61442e-04     1.77755e-07          -1.77755e+00
       21     1.18424e-04     1.77755e-07          -1.77755e+00
       22     9.03611e-05     1.77755e-07          -1.77755e+00
       23     6.47530e-05     1.77755e-07          -1.77755e+00
       24     5.11363e-05     1.77755e-07          -1.77755e+00
       25     1.95167e-05     1.77755e-07          -1.77755e+00
       26     6.14295e-06     1.77755e-07          -1.77755e+00
       27     4.25881e-06     1.77755e-07          -1.77755e+00
       28     3.56706e-06     1.77755e-07          -1.77755e+00
       29     2.76127e-06     1.77755e-07          -1.77755e+00
       30     1.46120e-06     1.77755e-07          -1.77755e+00
       31     8.37803e-07     1.77755e-07          -1.77755e+00
       32     7.59173e-07     1.77755e-07          -1.77755e+00
       33     5.57411e-07     1.77755e-07          -1.77755e+00
       34     2.65332e-07     1.77755e-07          -1.77755e+00
       35     9.43356e-08     1.77755e-07          -1.77755e+00
