    Step   Residual-2-norm     Threshold      Energy
        1     1.15269e+00     1.00000e-07           2.05369e-01
        2     1.41251e+00     1.00000e-07          -3.22945e-01
        3     6.00709e-01     1.20853e-07          -1.20853e+00
        4     2.45033e-01     1.63923e-07          -1.63923e+00
        5     2.97172e-01     1.75475e-07          -1.75475e+00
        6     2.09212e-01     1.81346e-07          -1.81346e+00
        7     3.36159e-01     1.85321e-07          -1.85321e+00
        8     3.82257e-01     2.00824e-07          -2.00824e+00
        9     1.96024e-01     2.15888e-07          -2.15888e+00
       10     9.69846e-02     2.18653e-07          -2.18653e+00
       11     3.14518e-02     2.19824e-07          -2.19824e+00
       12     3.02354e-02     2.20128e-07          -2.20128e+00
       13     2.28746e-02     2.20178e-07          -2.20178e+00
       14     7.59332e-03     2.20219e-07          -2.20219e+00
       15     5.00467e-03     2.20236e-07          -2.20236e+00
       16     2.78476e-03     2.20238e-07          -2.20238e+00
       17     7.33651e-04     2.20239e-07          -2.20239e+00
       18     6.95777e-04     2.20239e-07          -2.20239e+00
       19     5.74354e-04     2.20239e-07          -2.20239e+00
       20     2.41943e-04     2.20239e-07          -2.20239e+00
       21     1.29819e-04     2.20239e-07          -2.20239e+00
       22     6.61059e-05     2.20239e-07          -2.20239e+00
       23     2.37278e-05     2.20239e-07          -2.20239e+00
       24     1.51975e-05     2.20239e-07          -2.20239e+00
       25     1.02313e-05     2.20239e-07          -2.20239e+00
       26     7.74999e-06     2.20239e-07          -2.20239e+00
       27     4.00964e-06     2.20239e-07          -2.20239e+00
       28     7.35817e-07     2.20239e-07          -2.20239e+00
       29     5.86095e-07     2.20239e-07          -2.20239e+00
       30     3.76008e-07     2.20239e-07          -2.20239e+00
       31     2.10827e-07     2.20239e-07          -2.20239e+00
