i=0 spin=0 isite1=1 tmp_V=-1.371714 
i=1 spin=1 isite1=1 tmp_V=1.371714 
i=2 spin=0 isite1=2 tmp_V=0.457238 
i=3 spin=1 isite1=2 tmp_V=-0.457238 
i=4 spin=0 isite1=3 tmp_V=0.457238 
i=5 spin=1 isite1=3 tmp_V=-0.457238 
i=6 spin=0 isite1=4 tmp_V=0.457238 
i=7 spin=1 isite1=4 tmp_V=-0.457238 
i=8 spin=0 isite1=5 tmp_V=-1.371714 
i=9 spin=1 isite1=5 tmp_V=1.371714 
i=10 spin=0 isite1=6 tmp_V=0.457238 
i=11 spin=1 isite1=6 tmp_V=-0.457238 
i=12 spin=0 isite1=7 tmp_V=0.457238 
i=13 spin=1 isite1=7 tmp_V=-0.457238 
i=14 spin=0 isite1=8 tmp_V=0.457238 
i=15 spin=1 isite1=8 tmp_V=-0.457238 
i=16 spin=0 isite1=9 tmp_V=-1.371714 
i=17 spin=1 isite1=9 tmp_V=1.371714 
i=18 spin=0 isite1=10 tmp_V=0.457238 
i=19 spin=1 isite1=10 tmp_V=-0.457238 
i=20 spin=0 isite1=11 tmp_V=0.457238 
i=21 spin=1 isite1=11 tmp_V=-0.457238 
i=22 spin=0 isite1=12 tmp_V=0.457238 
i=23 spin=1 isite1=12 tmp_V=-0.457238 
i=24 spin=0 isite1=13 tmp_V=-1.371714 
i=25 spin=1 isite1=13 tmp_V=1.371714 
i=26 spin=0 isite1=14 tmp_V=0.457238 
i=27 spin=1 isite1=14 tmp_V=-0.457238 
i=28 spin=0 isite1=15 tmp_V=0.457238 
i=29 spin=1 isite1=15 tmp_V=-0.457238 
i=30 spin=0 isite1=16 tmp_V=0.457238 
i=31 spin=1 isite1=16 tmp_V=-0.457238 
