    0    0    0    0 0.5000000013 0.0000000000
    0    0    0    1 -0.0000000040 -0.0000000247
    0    1    0    0 -0.0000000040 0.0000000247
    0    1    0    1 0.4999999987 0.0000000000
    1    0    1    0 0.4999999987 0.0000000000
    1    0    1    1 0.0000000040 0.0000000247
    1    1    1    0 0.0000000040 -0.0000000247
    1    1    1    1 0.5000000013 0.0000000000
    2    0    2    0 0.4999999881 0.0000000000
    2    0    2    1 0.0000000164 -0.0000000282
    2    1    2    0 0.0000000164 0.0000000282
    2    1    2    1 0.5000000119 0.0000000000
    3    0    3    0 0.5000000199 0.0000000000
    3    0    3    1 -0.0000000064 0.0000000326
    3    1    3    0 -0.0000000064 -0.0000000326
    3    1    3    1 0.4999999801 0.0000000000
    4    0    4    0 0.5000000067 0.0000000000
    4    0    4    1 0.0000000092 -0.0000000061
    4    1    4    0 0.0000000092 0.0000000061
    4    1    4    1 0.4999999933 0.0000000000
    5    0    5    0 0.4999999933 0.0000000000
    5    0    5    1 -0.0000000092 0.0000000061
    5    1    5    0 -0.0000000092 -0.0000000061
    5    1    5    1 0.5000000067 0.0000000000
    6    0    6    0 0.5000000052 0.0000000000
    6    0    6    1 0.0000000058 -0.0000000063
    6    1    6    0 0.0000000058 0.0000000063
    6    1    6    1 0.4999999948 0.0000000000
    7    0    7    0 0.5000000000 0.0000000000
    7    0    7    1 0.0000000037 -0.0000000022
    7    1    7    0 0.0000000037 0.0000000022
    7    1    7    1 0.5000000000 0.0000000000
    8    0    8    0 0.4999999984 0.0000000000
    8    0    8    1 -0.0000000023 0.0000000212
    8    1    8    0 -0.0000000023 -0.0000000212
    8    1    8    1 0.5000000016 0.0000000000
    9    0    9    0 0.5000000016 0.0000000000
    9    0    9    1 0.0000000023 -0.0000000212
    9    1    9    0 0.0000000023 0.0000000212
    9    1    9    1 0.4999999984 0.0000000000
   10    0   10    0 0.5000000022 0.0000000000
   10    0   10    1 -0.0000000067 0.0000000011
   10    1   10    0 -0.0000000067 -0.0000000011
   10    1   10    1 0.4999999978 0.0000000000
   11    0   11    0 0.4999999940 0.0000000000
   11    0   11    1 -0.0000000031 0.0000000074
   11    1   11    0 -0.0000000031 -0.0000000074
   11    1   11    1 0.5000000060 0.0000000000
   12    0   12    0 0.4999999876 0.0000000000
   12    0   12    1 0.0000000013 0.0000000282
   12    1   12    0 0.0000000013 -0.0000000282
   12    1   12    1 0.5000000124 0.0000000000
   13    0   13    0 0.5000000124 0.0000000000
   13    0   13    1 -0.0000000013 -0.0000000282
   13    1   13    0 -0.0000000013 0.0000000282
   13    1   13    1 0.4999999876 0.0000000000
   14    0   14    0 0.4999999878 0.0000000000
   14    0   14    1 0.0000000029 -0.0000000373
   14    1   14    0 0.0000000029 0.0000000373
   14    1   14    1 0.5000000122 0.0000000000
   15    0   15    0 0.5000000058 0.0000000000
   15    0   15    1 -0.0000000133 0.0000000329
   15    1   15    0 -0.0000000133 -0.0000000329
   15    1   15    1 0.4999999942 0.0000000000
