    0    0    0    0 0.4798180924 0.0000000000
    0    0    0    1 0.0258839424 0.0703054458
    0    1    0    0 0.0258839424 -0.0703054458
    0    1    0    1 0.5201819076 0.0000000000
    1    0    1    0 0.5336431569 0.0000000000
    1    0    1    1 -0.0289800579 -0.0914292352
    1    1    1    0 -0.0289800579 0.0914292352
    1    1    1    1 0.4663568431 0.0000000000
    2    0    2    0 0.4869669101 0.0000000000
    2    0    2    1 0.0038260743 -0.2110102873
    2    1    2    0 0.0038260743 0.2110102873
    2    1    2    1 0.5130330899 0.0000000000
    3    0    3    0 0.5455766038 0.0000000000
    3    0    3    1 -0.0527481612 0.2048716456
    3    1    3    0 -0.0527481612 -0.2048716456
    3    1    3    1 0.4544233962 0.0000000000
    4    0    4    0 0.4960129308 0.0000000000
    4    0    4    1 -0.0203987087 0.0168094522
    4    1    4    0 -0.0203987087 -0.0168094522
    4    1    4    1 0.5039870692 0.0000000000
    5    0    5    0 0.5064892597 0.0000000000
    5    0    5    1 0.0093420494 -0.0470494173
    5    1    5    0 0.0093420494 0.0470494173
    5    1    5    1 0.4935107403 0.0000000000
    6    0    6    0 0.4981577842 0.0000000000
    6    0    6    1 -0.0175233056 -0.0245772436
    6    1    6    0 -0.0175233056 0.0245772436
    6    1    6    1 0.5018422158 0.0000000000
    7    0    7    0 0.4948318073 0.0000000000
    7    0    7    1 0.0068708990 0.0604437624
    7    1    7    0 0.0068708990 -0.0604437624
    7    1    7    1 0.5051681927 0.0000000000
    8    0    8    0 0.4873640161 0.0000000000
    8    0    8    1 0.0409985601 -0.0841415742
    8    1    8    0 0.0409985601 0.0841415742
    8    1    8    1 0.5126359839 0.0000000000
    9    0    9    0 0.5187894132 0.0000000000
    9    0    9    1 -0.0427243163 0.0843484472
    9    1    9    0 -0.0427243163 -0.0843484472
    9    1    9    1 0.4812105868 0.0000000000
   10    0   10    0 0.4996538986 0.0000000000
   10    0   10    1 -0.0030706786 -0.0343242495
   10    1   10    0 -0.0030706786 0.0343242495
   10    1   10    1 0.5003461014 0.0000000000
   11    0   11    0 0.5015576041 0.0000000000
   11    0   11    1 0.0113757490 0.0143582394
   11    1   11    0 0.0113757490 -0.0143582394
   11    1   11    1 0.4984423959 0.0000000000
   12    0   12    0 0.5364770030 0.0000000000
   12    0   12    1 -0.0347784943 -0.0685157889
   12    1   12    0 -0.0347784943 0.0685157889
   12    1   12    1 0.4635229970 0.0000000000
   13    0   13    0 0.4518011330 0.0000000000
   13    0   13    1 0.0245351608 0.0710232251
   13    1   13    0 0.0245351608 -0.0710232251
   13    1   13    1 0.5481988670 0.0000000000
   14    0   14    0 0.4845720672 0.0000000000
   14    0   14    1 0.0366331873 -0.1921845254
   14    1   14    0 0.0366331873 0.1921845254
   14    1   14    1 0.5154279328 0.0000000000
   15    0   15    0 0.5797604199 0.0000000000
   15    0   15    1 -0.0295675177 0.1744309206
   15    1   15    0 -0.0295675177 -0.1744309206
   15    1   15    1 0.4202395801 0.0000000000
