    0    0    0    0 0.4837464761 0.0000000000
    0    0    0    1 0.0156238543 0.0242618784
    0    1    0    0 0.0156238543 -0.0242618784
    0    1    0    1 0.5162535239 0.0000000000
    1    0    1    0 0.5448230322 0.0000000000
    1    0    1    1 -0.0117489742 -0.0546654089
    1    1    1    0 -0.0117489742 0.0546654089
    1    1    1    1 0.4551769678 0.0000000000
    2    0    2    0 0.4850794876 0.0000000000
    2    0    2    1 0.0029580655 -0.0823970632
    2    1    2    0 0.0029580655 0.0823970632
    2    1    2    1 0.5149205124 0.0000000000
    3    0    3    0 0.5104517390 0.0000000000
    3    0    3    1 -0.0319355274 0.0873995743
    3    1    3    0 -0.0319355274 -0.0873995743
    3    1    3    1 0.4895482610 0.0000000000
    4    0    4    0 0.5067583718 0.0000000000
    4    0    4    1 -0.0152507480 -0.0091869672
    4    1    4    0 -0.0152507480 0.0091869672
    4    1    4    1 0.4932416282 0.0000000000
    5    0    5    0 0.5009991328 0.0000000000
    5    0    5    1 0.0006561053 -0.0408983791
    5    1    5    0 0.0006561053 0.0408983791
    5    1    5    1 0.4990008672 0.0000000000
    6    0    6    0 0.4876629169 0.0000000000
    6    0    6    1 -0.0165660247 -0.0194639917
    6    1    6    0 -0.0165660247 0.0194639917
    6    1    6    1 0.5123370831 0.0000000000
    7    0    7    0 0.5080233348 0.0000000000
    7    0    7    1 0.0115928273 0.0620203878
    7    1    7    0 0.0115928273 -0.0620203878
    7    1    7    1 0.4919766652 0.0000000000
    8    0    8    0 0.4758201351 0.0000000000
    8    0    8    1 0.0199923701 -0.0467124857
    8    1    8    0 0.0199923701 0.0467124857
    8    1    8    1 0.5241798649 0.0000000000
    9    0    9    0 0.5343307919 0.0000000000
    9    0    9    1 -0.0200120154 0.0472619553
    9    1    9    0 -0.0200120154 -0.0472619553
    9    1    9    1 0.4656692081 0.0000000000
   10    0   10    0 0.4776620847 0.0000000000
   10    0   10    1 -0.0061992419 -0.0230067916
   10    1   10    0 -0.0061992419 0.0230067916
   10    1   10    1 0.5223379153 0.0000000000
   11    0   11    0 0.5067082602 0.0000000000
   11    0   11    1 -0.0005749235 0.0000986175
   11    1   11    0 -0.0005749235 -0.0000986175
   11    1   11    1 0.4932917398 0.0000000000
   12    0   12    0 0.5088743915 0.0000000000
   12    0   12    1 -0.0345490123 -0.0314072355
   12    1   12    0 -0.0345490123 0.0314072355
   12    1   12    1 0.4911256085 0.0000000000
   13    0   13    0 0.4768952330 0.0000000000
   13    0   13    1 0.0230441136 0.0330987997
   13    1   13    0 0.0230441136 -0.0330987997
   13    1   13    1 0.5231047670 0.0000000000
   14    0   14    0 0.4917439553 0.0000000000
   14    0   14    1 0.0249697700 -0.0572768826
   14    1   14    0 0.0249697700 0.0572768826
   14    1   14    1 0.5082560447 0.0000000000
   15    0   15    0 0.5444676805 0.0000000000
   15    0   15    1 0.0001201009 0.0435752758
   15    1   15    0 0.0001201009 -0.0435752758
   15    1   15    1 0.4555323195 0.0000000000
