    Step   Residual-2-norm     Threshold      Energy
        1     8.93035e-01     1.00000e-07          -1.87887e-01
        2     7.01170e-01     1.00000e-07          -3.80300e-01
        3     2.74114e-01     1.00000e-07          -8.18972e-01
        4     8.61519e-02     1.07571e-07          -1.07571e+00
        5     9.70359e-02     1.09946e-07          -1.09946e+00
        6     5.29501e-02     1.11430e-07          -1.11430e+00
        7     4.06275e-02     1.12170e-07          -1.12170e+00
        8     1.21090e-02     1.12827e-07          -1.12827e+00
        9     1.08309e-02     1.12907e-07          -1.12907e+00
       10     1.24740e-02     1.12926e-07          -1.12926e+00
       11     3.91011e-03     1.12956e-07          -1.12956e+00
       12     6.03600e-03     1.12971e-07          -1.12971e+00
       13     4.30905e-04     1.12973e-07          -1.12973e+00
       14     1.97821e-04     1.12974e-07          -1.12974e+00
       15     3.09589e-04     1.12974e-07          -1.12974e+00
       16     1.54876e-04     1.12974e-07          -1.12974e+00
       17     7.10265e-05     1.12974e-07          -1.12974e+00
       18     9.43281e-05     1.12974e-07          -1.12974e+00
       19     1.20233e-05     1.12974e-07          -1.12974e+00
       20     1.89288e-05     1.12974e-07          -1.12974e+00
       21     1.91441e-05     1.12974e-07          -1.12974e+00
       22     4.96094e-06     1.12974e-07          -1.12974e+00
       23     2.89171e-06     1.12974e-07          -1.12974e+00
       24     1.03533e-06     1.12974e-07          -1.12974e+00
       25     3.26394e-07     1.12974e-07          -1.12974e+00
       26     3.39393e-07     1.12974e-07          -1.12974e+00
       27     1.44118e-07     1.12974e-07          -1.12974e+00
       28     8.65089e-08     1.12974e-07          -1.12974e+00
