    Step   Residual-2-norm     Threshold      Energy
        1     8.85022e-01     1.00000e-07          -1.03013e-01
        2     7.90455e-01     1.00000e-07          -3.10894e-01
        3     3.19332e-01     1.00000e-07          -8.15293e-01
        4     7.88949e-02     1.12007e-07          -1.12007e+00
        5     1.58087e-01     1.15189e-07          -1.15189e+00
        6     5.73378e-02     1.17909e-07          -1.17909e+00
        7     6.47190e-02     1.18531e-07          -1.18531e+00
        8     7.35653e-02     1.21528e-07          -1.21528e+00
        9     3.85757e-02     1.24344e-07          -1.24344e+00
       10     2.98599e-02     1.24513e-07          -1.24513e+00
       11     5.71249e-03     1.24701e-07          -1.24701e+00
       12     4.20606e-03     1.24799e-07          -1.24799e+00
       13     2.50023e-03     1.24800e-07          -1.24800e+00
       14     2.08269e-03     1.24802e-07          -1.24802e+00
       15     9.32263e-04     1.24804e-07          -1.24804e+00
       16     1.33816e-03     1.24805e-07          -1.24805e+00
       17     4.10822e-04     1.24805e-07          -1.24805e+00
       18     4.52062e-05     1.24805e-07          -1.24805e+00
       19     8.89756e-05     1.24805e-07          -1.24805e+00
       20     4.12630e-05     1.24805e-07          -1.24805e+00
       21     1.94415e-05     1.24805e-07          -1.24805e+00
       22     2.96519e-05     1.24805e-07          -1.24805e+00
       23     1.01942e-05     1.24805e-07          -1.24805e+00
       24     1.19159e-06     1.24805e-07          -1.24805e+00
       25     1.47360e-06     1.24805e-07          -1.24805e+00
       26     1.44380e-06     1.24805e-07          -1.24805e+00
       27     3.24010e-07     1.24805e-07          -1.24805e+00
       28     5.26235e-07     1.24805e-07          -1.24805e+00
       29     2.20066e-07     1.24805e-07          -1.24805e+00
       30     3.94815e-08     1.24805e-07          -1.24805e+00
