    Step   Residual-2-norm     Threshold      Energy
        1     9.21527e-01     1.00000e-07          -4.44548e-02
        2     9.50377e-01     1.00000e-07          -3.02210e-01
        3     3.90891e-01     1.00000e-07          -8.92754e-01
        4     1.47985e-01     1.24861e-07          -1.24861e+00
        5     1.42409e-01     1.29549e-07          -1.29549e+00
        6     5.88377e-02     1.32231e-07          -1.32231e+00
        7     3.32766e-02     1.32697e-07          -1.32697e+00
        8     1.67028e-02     1.32975e-07          -1.32975e+00
        9     3.71860e-02     1.33108e-07          -1.33108e+00
       10     1.53682e-01     1.33686e-07          -1.33686e+00
       11     7.32450e-02     1.35511e-07          -1.35511e+00
       12     2.50009e-02     1.36852e-07          -1.36852e+00
       13     1.32585e-02     1.36951e-07          -1.36951e+00
       14     8.52596e-03     1.36988e-07          -1.36988e+00
       15     3.17145e-03     1.37000e-07          -1.37000e+00
       16     2.55661e-03     1.37002e-07          -1.37002e+00
       17     3.56880e-03     1.37004e-07          -1.37004e+00
       18     1.96156e-03     1.37005e-07          -1.37005e+00
       19     3.38429e-03     1.37006e-07          -1.37006e+00
       20     2.48705e-03     1.37007e-07          -1.37007e+00
       21     4.81014e-04     1.37008e-07          -1.37008e+00
       22     2.34532e-04     1.37008e-07          -1.37008e+00
       23     2.38576e-04     1.37008e-07          -1.37008e+00
       24     4.75153e-05     1.37008e-07          -1.37008e+00
       25     4.53579e-05     1.37008e-07          -1.37008e+00
       26     1.31582e-04     1.37008e-07          -1.37008e+00
       27     4.03963e-05     1.37008e-07          -1.37008e+00
       28     2.55795e-05     1.37008e-07          -1.37008e+00
       29     3.04656e-05     1.37008e-07          -1.37008e+00
       30     7.34863e-06     1.37008e-07          -1.37008e+00
       31     4.31077e-06     1.37008e-07          -1.37008e+00
       32     4.44500e-06     1.37008e-07          -1.37008e+00
       33     9.89506e-07     1.37008e-07          -1.37008e+00
       34     1.02873e-06     1.37008e-07          -1.37008e+00
       35     1.93098e-06     1.37008e-07          -1.37008e+00
       36     8.79820e-07     1.37008e-07          -1.37008e+00
       37     4.30350e-07     1.37008e-07          -1.37008e+00
       38     1.98003e-07     1.37008e-07          -1.37008e+00
       39     7.84229e-08     1.37008e-07          -1.37008e+00
