    0    0    0    0 0.9600231101 0.0000000000
    0    0    0    1 0.0000000299 0.0000000088
    0    1    0    0 0.0000000299 -0.0000000088
    0    1    0    1 0.0399768899 0.0000000000
    1    0    1    0 0.5000001794 0.0000000000
    1    0    1    1 -0.0000000136 0.0000000683
    1    1    1    0 -0.0000000136 -0.0000000683
    1    1    1    1 0.4999998206 0.0000000000
    2    0    2    0 0.5000001806 0.0000000000
    2    0    2    1 -0.0000000136 -0.0000000660
    2    1    2    0 -0.0000000136 0.0000000660
    2    1    2    1 0.4999998194 0.0000000000
    3    0    3    0 0.0399768706 0.0000000000
    3    0    3    1 0.0000000409 0.0000000110
    3    1    3    0 0.0000000409 -0.0000000110
    3    1    3    1 0.9600231294 0.0000000000
