    Step   Residual-2-norm     Threshold      Energy
        1     9.61657e-01     1.00000e-07           2.84669e-02
        2     1.07775e+00     1.00000e-07          -2.81682e-01
        3     4.42730e-01     1.00000e-07          -9.36086e-01
        4     1.55628e-01     1.31367e-07          -1.31367e+00
        5     2.56015e-01     1.37894e-07          -1.37894e+00
        6     1.17091e-01     1.42175e-07          -1.42175e+00
        7     1.27957e-01     1.43984e-07          -1.43984e+00
        8     2.21592e-01     1.52265e-07          -1.52265e+00
        9     1.00416e-01     1.60454e-07          -1.60454e+00
       10     5.09923e-02     1.61419e-07          -1.61419e+00
       11     1.36115e-02     1.61916e-07          -1.61916e+00
       12     9.68109e-03     1.62082e-07          -1.62082e+00
       13     7.02078e-03     1.62089e-07          -1.62089e+00
       14     3.76206e-03     1.62097e-07          -1.62097e+00
       15     1.35798e-03     1.62102e-07          -1.62102e+00
       16     1.18316e-03     1.62103e-07          -1.62103e+00
       17     2.31888e-04     1.62103e-07          -1.62103e+00
       18     9.00500e-05     1.62103e-07          -1.62103e+00
       19     1.32195e-04     1.62103e-07          -1.62103e+00
       20     9.09650e-05     1.62103e-07          -1.62103e+00
       21     2.11508e-05     1.62103e-07          -1.62103e+00
       22     1.77234e-05     1.62103e-07          -1.62103e+00
       23     1.09299e-05     1.62103e-07          -1.62103e+00
       24     1.19757e-06     1.62103e-07          -1.62103e+00
       25     1.30799e-06     1.62103e-07          -1.62103e+00
       26     1.30306e-06     1.62103e-07          -1.62103e+00
       27     3.80807e-07     1.62103e-07          -1.62103e+00
       28     2.08081e-07     1.62103e-07          -1.62103e+00
       29     6.60664e-08     1.62103e-07          -1.62103e+00
