    0    0    0    0 0.9449371915 0.0000000000
    0    0    0    1 0.0000000186 -0.0000000123
    0    1    0    0 0.0000000186 0.0000000123
    0    1    0    1 0.0550628085 0.0000000000
    1    0    1    0 0.0975972949 0.0000000000
    1    0    1    1 -0.0000000198 0.0000000708
    1    1    1    0 -0.0000000198 -0.0000000708
    1    1    1    1 0.9024027051 0.0000000000
    2    0    2    0 0.0975972998 0.0000000000
    2    0    2    1 -0.0000000118 -0.0000002086
    2    1    2    0 -0.0000000118 0.0000002086
    2    1    2    1 0.9024027002 0.0000000000
    3    0    3    0 0.0975973223 0.0000000000
    3    0    3    1 0.0000001087 0.0000001413
    3    1    3    0 0.0000001087 -0.0000001413
    3    1    3    1 0.9024026777 0.0000000000
