    Step   Residual-2-norm     Threshold      Energy
        1     9.52069e-01     1.00000e-07           1.65141e-02
        2     1.05060e+00     1.00000e-07          -2.81523e-01
        3     4.31735e-01     1.00000e-07          -9.21249e-01
        4     1.48952e-01     1.29362e-07          -1.29362e+00
        5     2.52798e-01     1.35573e-07          -1.35573e+00
        6     1.12897e-01     1.39768e-07          -1.39768e+00
        7     1.22933e-01     1.41511e-07          -1.41511e+00
        8     2.10060e-01     1.49287e-07          -1.49287e+00
        9     9.35173e-02     1.56937e-07          -1.56937e+00
       10     4.87618e-02     1.57809e-07          -1.57809e+00
       11     1.28699e-02     1.58271e-07          -1.58271e+00
       12     9.35657e-03     1.58430e-07          -1.58430e+00
       13     6.67152e-03     1.58436e-07          -1.58436e+00
       14     3.55442e-03     1.58444e-07          -1.58444e+00
       15     1.41580e-03     1.58449e-07          -1.58449e+00
       16     1.19198e-03     1.58450e-07          -1.58450e+00
       17     1.86265e-04     1.58450e-07          -1.58450e+00
       18     9.03211e-05     1.58450e-07          -1.58450e+00
       19     1.31827e-04     1.58450e-07          -1.58450e+00
       20     6.90268e-05     1.58450e-07          -1.58450e+00
       21     2.17288e-05     1.58450e-07          -1.58450e+00
       22     2.01982e-05     1.58450e-07          -1.58450e+00
       23     7.45968e-06     1.58450e-07          -1.58450e+00
       24     1.21953e-06     1.58450e-07          -1.58450e+00
       25     1.39655e-06     1.58450e-07          -1.58450e+00
       26     1.42998e-06     1.58450e-07          -1.58450e+00
       27     4.14850e-07     1.58450e-07          -1.58450e+00
       28     2.19992e-07     1.58450e-07          -1.58450e+00
       29     8.56575e-08     1.58450e-07          -1.58450e+00
