    Step   Residual-2-norm     Threshold      Energy
        1     3.73446e+00     1.00000e-07           7.22646e-01
        2     3.50527e+00     1.36845e-07          -1.36845e+00
        3     1.45923e+00     4.48583e-07          -4.48583e+00
        4     4.63178e-01     5.57449e-07          -5.57449e+00
        5     4.88298e-01     5.67735e-07          -5.67735e+00
        6     3.25940e-01     5.80170e-07          -5.80170e+00
        7     1.01063e-01     5.89180e-07          -5.89180e+00
        8     9.84913e-03     5.89863e-07          -5.89863e+00
        9     2.79937e-03     5.89922e-07          -5.89922e+00
       10     2.14643e-03     5.89922e-07          -5.89922e+00
       11     2.49479e-03     5.89923e-07          -5.89923e+00
       12     1.33905e-03     5.89923e-07          -5.89923e+00
       13     1.73143e-03     5.89923e-07          -5.89923e+00
       14     1.43477e-02     5.89924e-07          -5.89924e+00
       15     5.97062e-02     5.89950e-07          -5.89950e+00
       16     1.95359e-02     5.90023e-07          -5.90023e+00
       17     5.75691e-03     5.90074e-07          -5.90074e+00
       18     2.83999e-03     5.90076e-07          -5.90076e+00
       19     3.29021e-03     5.90076e-07          -5.90076e+00
       20     1.60701e-03     5.90077e-07          -5.90077e+00
       21     3.53814e-04     5.90077e-07          -5.90077e+00
       22     7.35979e-05     5.90077e-07          -5.90077e+00
       23     5.63500e-05     5.90077e-07          -5.90077e+00
       24     1.29569e-04     5.90077e-07          -5.90077e+00
       25     6.73046e-04     5.90077e-07          -5.90077e+00
       26     1.35080e-03     5.90077e-07          -5.90077e+00
       27     3.31055e-04     5.90077e-07          -5.90077e+00
       28     1.52458e-04     5.90077e-07          -5.90077e+00
       29     1.31448e-04     5.90077e-07          -5.90077e+00
       30     7.98484e-05     5.90077e-07          -5.90077e+00
       31     2.23977e-05     5.90077e-07          -5.90077e+00
       32     4.01454e-06     5.90077e-07          -5.90077e+00
       33     1.72431e-06     5.90077e-07          -5.90077e+00
       34     8.99175e-07     5.90077e-07          -5.90077e+00
       35     4.88143e-06     5.90077e-07          -5.90077e+00
       36     1.59012e-05     5.90077e-07          -5.90077e+00
       37     1.50251e-05     5.90077e-07          -5.90077e+00
       38     6.71260e-06     5.90077e-07          -5.90077e+00
       39     5.86143e-06     5.90077e-07          -5.90077e+00
       40     5.67042e-06     5.90077e-07          -5.90077e+00
       41     2.00544e-06     5.90077e-07          -5.90077e+00
       42     2.71899e-07     5.90077e-07          -5.90077e+00
