    Step   Residual-2-norm     Threshold      Energy
        1     1.54481e+00     1.00000e-07           9.35176e-02
        2     1.53486e+00     1.00000e-07          -6.49275e-01
        3     8.91308e-01     1.74167e-07          -1.74167e+00
        4     3.77767e-01     2.23164e-07          -2.23164e+00
        5     2.36194e-01     2.41448e-07          -2.41448e+00
        6     2.64983e-01     2.47040e-07          -2.47040e+00
        7     1.47990e-01     2.50661e-07          -2.50661e+00
        8     3.27974e-02     2.53282e-07          -2.53282e+00
        9     7.98146e-03     2.53639e-07          -2.53639e+00
       10     3.02519e-03     2.53653e-07          -2.53653e+00
       11     2.46690e-03     2.53655e-07          -2.53655e+00
       12     3.04004e-03     2.53655e-07          -2.53655e+00
       13     1.78148e-03     2.53656e-07          -2.53656e+00
       14     1.63171e-03     2.53656e-07          -2.53656e+00
       15     3.46947e-03     2.53656e-07          -2.53656e+00
       16     2.35547e-02     2.53661e-07          -2.53661e+00
       17     1.59893e-02     2.53723e-07          -2.53723e+00
       18     8.70191e-03     2.53784e-07          -2.53784e+00
       19     5.89319e-03     2.53790e-07          -2.53790e+00
       20     4.07888e-03     2.53792e-07          -2.53792e+00
       21     3.02805e-03     2.53793e-07          -2.53793e+00
       22     1.06006e-03     2.53794e-07          -2.53794e+00
       23     2.91489e-04     2.53795e-07          -2.53795e+00
       24     3.78663e-05     2.53795e-07          -2.53795e+00
       25     3.67614e-05     2.53795e-07          -2.53795e+00
       26     8.38291e-05     2.53795e-07          -2.53795e+00
       27     1.22066e-04     2.53795e-07          -2.53795e+00
       28     3.19552e-04     2.53795e-07          -2.53795e+00
       29     2.46288e-04     2.53795e-07          -2.53795e+00
       30     2.71947e-04     2.53795e-07          -2.53795e+00
       31     2.35005e-04     2.53795e-07          -2.53795e+00
       32     4.93433e-05     2.53795e-07          -2.53795e+00
       33     1.57017e-05     2.53795e-07          -2.53795e+00
       34     5.22398e-06     2.53795e-07          -2.53795e+00
       35     1.35518e-06     2.53795e-07          -2.53795e+00
       36     3.76799e-07     2.53795e-07          -2.53795e+00
       37     5.68926e-07     2.53795e-07          -2.53795e+00
       38     6.48954e-07     2.53795e-07          -2.53795e+00
       39     7.54716e-07     2.53795e-07          -2.53795e+00
       40     1.02066e-06     2.53795e-07          -2.53795e+00
       41     3.32066e-06     2.53795e-07          -2.53795e+00
       42     5.07821e-06     2.53795e-07          -2.53795e+00
       43     2.13751e-06     2.53795e-07          -2.53795e+00
       44     2.48605e-07     2.53795e-07          -2.53795e+00
