    Step   Residual-2-norm     Threshold      Energy
        1     1.16863e+00     1.00000e-07           2.18276e-01
        2     1.43765e+00     1.00000e-07          -3.28711e-01
        3     6.12785e-01     1.23587e-07          -1.23587e+00
        4     2.52265e-01     1.67144e-07          -1.67144e+00
        5     2.92962e-01     1.78961e-07          -1.78961e+00
        6     2.08099e-01     1.84843e-07          -1.84843e+00
        7     3.46337e-01     1.88750e-07          -1.88750e+00
        8     3.81853e-01     2.04575e-07          -2.04575e+00
        9     1.95579e-01     2.19942e-07          -2.19942e+00
       10     9.49575e-02     2.22652e-07          -2.22652e+00
       11     3.06391e-02     2.23780e-07          -2.23780e+00
       12     2.95019e-02     2.24064e-07          -2.24064e+00
       13     2.26303e-02     2.24111e-07          -2.24111e+00
       14     7.36140e-03     2.24150e-07          -2.24150e+00
       15     4.54879e-03     2.24166e-07          -2.24166e+00
       16     2.60271e-03     2.24168e-07          -2.24168e+00
       17     6.86839e-04     2.24169e-07          -2.24169e+00
       18     6.54417e-04     2.24169e-07          -2.24169e+00
       19     5.50223e-04     2.24169e-07          -2.24169e+00
       20     2.24850e-04     2.24169e-07          -2.24169e+00
       21     1.13848e-04     2.24169e-07          -2.24169e+00
       22     5.91622e-05     2.24169e-07          -2.24169e+00
       23     2.11866e-05     2.24169e-07          -2.24169e+00
       24     1.38327e-05     2.24169e-07          -2.24169e+00
       25     9.27768e-06     2.24169e-07          -2.24169e+00
       26     6.71383e-06     2.24169e-07          -2.24169e+00
       27     3.47626e-06     2.24169e-07          -2.24169e+00
       28     6.13513e-07     2.24169e-07          -2.24169e+00
       29     5.01971e-07     2.24169e-07          -2.24169e+00
       30     3.32003e-07     2.24169e-07          -2.24169e+00
       31     1.82213e-07     2.24169e-07          -2.24169e+00
