    Step   Residual-2-norm     Threshold      Energy
        1     8.93939e-01     1.00000e-07          -7.91070e-02
        2     8.37867e-01     1.00000e-07          -3.00375e-01
        3     3.41619e-01     1.00000e-07          -8.30090e-01
        4     9.31283e-02     1.15037e-07          -1.15037e+00
        5     1.88299e-01     1.18824e-07          -1.18824e+00
        6     7.03276e-02     1.21957e-07          -1.21957e+00
        7     7.80179e-02     1.22844e-07          -1.22844e+00
        8     1.01017e-01     1.26730e-07          -1.26730e+00
        9     4.59818e-02     1.30394e-07          -1.30394e+00
       10     3.22614e-02     1.30648e-07          -1.30648e+00
       11     7.00425e-03     1.30867e-07          -1.30867e+00
       12     5.32176e-03     1.30970e-07          -1.30970e+00
       13     3.42717e-03     1.30972e-07          -1.30972e+00
       14     2.48846e-03     1.30976e-07          -1.30976e+00
       15     1.19653e-03     1.30979e-07          -1.30979e+00
       16     1.36862e-03     1.30979e-07          -1.30979e+00
       17     4.90934e-04     1.30979e-07          -1.30979e+00
       18     5.74111e-05     1.30979e-07          -1.30979e+00
       19     9.44490e-05     1.30979e-07          -1.30979e+00
       20     5.75321e-05     1.30979e-07          -1.30979e+00
       21     2.28864e-05     1.30979e-07          -1.30979e+00
       22     3.51135e-05     1.30979e-07          -1.30979e+00
       23     9.37201e-06     1.30979e-07          -1.30979e+00
       24     1.28342e-06     1.30979e-07          -1.30979e+00
       25     1.70935e-06     1.30979e-07          -1.30979e+00
       26     1.37930e-06     1.30979e-07          -1.30979e+00
       27     4.45079e-07     1.30979e-07          -1.30979e+00
       28     6.19686e-07     1.30979e-07          -1.30979e+00
       29     2.86038e-07     1.30979e-07          -1.30979e+00
       30     3.51650e-08     1.30979e-07          -1.30979e+00
