    Step   Residual-2-norm     Threshold      Energy
        1     8.78687e-01     1.00000e-07          -1.17353e-01
        2     7.57025e-01     1.00000e-07          -3.16254e-01
        3     3.05707e-01     1.00000e-07          -8.02294e-01
        4     5.94967e-02     1.09561e-07          -1.09561e+00
        5     1.96016e-01     1.12598e-07          -1.12598e+00
        6     7.46337e-02     1.15596e-07          -1.15596e+00
        7     7.77606e-02     1.16605e-07          -1.16605e+00
        8     8.65451e-02     1.19222e-07          -1.19222e+00
        9     3.55184e-02     1.21516e-07          -1.21516e+00
       10     2.44686e-02     1.21690e-07          -1.21690e+00
       11     1.04080e-02     1.21854e-07          -1.21854e+00
       12     6.44850e-03     1.21951e-07          -1.21951e+00
       13     5.18347e-03     1.21955e-07          -1.21955e+00
       14     2.80030e-03     1.21963e-07          -1.21963e+00
       15     2.66235e-03     1.21968e-07          -1.21968e+00
       16     1.75977e-03     1.21969e-07          -1.21969e+00
       17     4.71263e-04     1.21969e-07          -1.21969e+00
       18     4.08229e-04     1.21970e-07          -1.21970e+00
       19     2.77705e-04     1.21970e-07          -1.21970e+00
       20     7.68374e-05     1.21970e-07          -1.21970e+00
       21     1.18008e-04     1.21970e-07          -1.21970e+00
       22     1.07626e-04     1.21970e-07          -1.21970e+00
       23     2.13517e-05     1.21970e-07          -1.21970e+00
       24     2.20011e-05     1.21970e-07          -1.21970e+00
       25     2.34501e-05     1.21970e-07          -1.21970e+00
       26     3.67195e-06     1.21970e-07          -1.21970e+00
       27     2.85837e-06     1.21970e-07          -1.21970e+00
       28     5.40285e-06     1.21970e-07          -1.21970e+00
       29     1.20540e-06     1.21970e-07          -1.21970e+00
       30     1.02708e-06     1.21970e-07          -1.21970e+00
       31     1.65064e-06     1.21970e-07          -1.21970e+00
       32     1.64455e-07     1.21970e-07          -1.21970e+00
       33     1.07587e-07     1.21970e-07          -1.21970e+00
