    Step   Residual-2-norm     Threshold      Energy
        1     2.14330e+00     1.00000e-07           2.76168e-01
        2     2.04259e+00     1.00000e-07          -8.69305e-01
        3     1.18288e+00     2.53875e-07          -2.53875e+00
        4     4.07338e-01     3.18565e-07          -3.18565e+00
        5     3.03071e-01     3.34936e-07          -3.34936e+00
        6     3.92030e-01     3.42730e-07          -3.42730e+00
        7     1.29575e-01     3.48228e-07          -3.48228e+00
        8     2.71734e-02     3.50184e-07          -3.50184e+00
        9     3.75498e-03     3.50366e-07          -3.50366e+00
       10     3.71397e-03     3.50372e-07          -3.50372e+00
       11     2.80927e-03     3.50373e-07          -3.50373e+00
       12     1.73753e-03     3.50373e-07          -3.50373e+00
       13     1.39701e-03     3.50374e-07          -3.50374e+00
       14     2.49283e-03     3.50374e-07          -3.50374e+00
       15     9.74632e-03     3.50375e-07          -3.50375e+00
       16     2.22527e-02     3.50438e-07          -3.50438e+00
       17     1.30653e-02     3.50506e-07          -3.50506e+00
       18     6.39204e-03     3.50514e-07          -3.50514e+00
       19     6.99802e-03     3.50518e-07          -3.50518e+00
       20     3.20801e-03     3.50520e-07          -3.50520e+00
       21     5.93671e-04     3.50521e-07          -3.50521e+00
       22     1.75606e-04     3.50521e-07          -3.50521e+00
       23     1.62974e-05     3.50521e-07          -3.50521e+00
       24     2.67323e-05     3.50521e-07          -3.50521e+00
       25     4.42478e-05     3.50521e-07          -3.50521e+00
       26     1.50047e-04     3.50521e-07          -3.50521e+00
       27     1.02849e-04     3.50521e-07          -3.50521e+00
       28     2.30246e-04     3.50521e-07          -3.50521e+00
       29     2.30897e-04     3.50521e-07          -3.50521e+00
       30     2.25580e-05     3.50521e-07          -3.50521e+00
       31     7.91457e-06     3.50521e-07          -3.50521e+00
       32     1.33845e-06     3.50521e-07          -3.50521e+00
       33     3.48141e-07     3.50521e-07          -3.50521e+00
