    0    0    0    0 0.9256641663 0.0000000000
    0    0    0    1 0.0000000147 0.0000000021
    0    1    0    0 0.0000000147 -0.0000000021
    0    1    0    1 0.0743358337 0.0000000000
    1    0    1    0 0.1011454949 0.0000000000
    1    0    1    1 -0.0000000491 0.0000001750
    1    1    1    0 -0.0000000491 -0.0000001750
    1    1    1    1 0.8988545051 0.0000000000
    2    0    2    0 0.1011455015 0.0000000000
    2    0    2    1 -0.0000001328 -0.0000004808
    2    1    2    0 -0.0000001328 0.0000004808
    2    1    2    1 0.8988544985 0.0000000000
    3    0    3    0 0.1011455142 0.0000000000
    3    0    3    1 0.0000002909 0.0000002970
    3    1    3    0 0.0000002909 -0.0000002970
    3    1    3    1 0.8988544858 0.0000000000
