    Step   Residual-2-norm     Threshold      Energy
        1     8.91983e-01     1.00000e-07          -1.52029e-01
        2     7.47290e-01     1.00000e-07          -3.53429e-01
        3     3.00025e-01     1.00000e-07          -8.25346e-01
        4     9.77880e-02     1.10802e-07          -1.10802e+00
        5     1.01726e-01     1.13494e-07          -1.13494e+00
        6     5.31762e-02     1.15141e-07          -1.15141e+00
        7     5.02946e-02     1.15655e-07          -1.15655e+00
        8     1.24330e-02     1.16157e-07          -1.16157e+00
        9     1.79922e-02     1.16323e-07          -1.16323e+00
       10     1.92861e-02     1.16352e-07          -1.16352e+00
       11     4.42805e-03     1.16425e-07          -1.16425e+00
       12     6.58980e-03     1.16477e-07          -1.16477e+00
       13     1.69211e-03     1.16480e-07          -1.16480e+00
       14     4.24301e-04     1.16481e-07          -1.16481e+00
       15     8.38550e-04     1.16481e-07          -1.16481e+00
       16     4.74036e-04     1.16481e-07          -1.16481e+00
       17     5.46198e-05     1.16481e-07          -1.16481e+00
       18     6.24704e-05     1.16481e-07          -1.16481e+00
       19     4.33944e-05     1.16481e-07          -1.16481e+00
       20     2.26115e-05     1.16481e-07          -1.16481e+00
       21     3.81737e-05     1.16481e-07          -1.16481e+00
       22     3.09064e-05     1.16481e-07          -1.16481e+00
       23     3.66582e-06     1.16481e-07          -1.16481e+00
       24     2.38806e-06     1.16481e-07          -1.16481e+00
       25     2.71219e-06     1.16481e-07          -1.16481e+00
       26     1.62377e-06     1.16481e-07          -1.16481e+00
       27     2.40828e-07     1.16481e-07          -1.16481e+00
       28     1.42862e-07     1.16481e-07          -1.16481e+00
       29     5.50339e-08     1.16481e-07          -1.16481e+00
