    Step   Residual-2-norm     Threshold      Energy
        1     8.99587e-01     1.00000e-07          -2.23745e-01
        2     6.67680e-01     1.00000e-07          -4.11406e-01
        3     2.50830e-01     1.00000e-07          -8.21843e-01
        4     8.07150e-02     1.05431e-07          -1.05431e+00
        5     9.37342e-02     1.07680e-07          -1.07680e+00
        6     5.35723e-02     1.09110e-07          -1.09110e+00
        7     1.65308e-02     1.09996e-07          -1.09996e+00
        8     9.80531e-03     1.10739e-07          -1.10739e+00
        9     4.16628e-03     1.10748e-07          -1.10748e+00
       10     3.16730e-03     1.10753e-07          -1.10753e+00
       11     2.45176e-03     1.10757e-07          -1.10757e+00
       12     3.03031e-03     1.10757e-07          -1.10757e+00
       13     1.28601e-04     1.10758e-07          -1.10758e+00
       14     1.85532e-04     1.10759e-07          -1.10759e+00
       15     8.48660e-05     1.10759e-07          -1.10759e+00
       16     3.05313e-05     1.10759e-07          -1.10759e+00
       17     5.95055e-05     1.10759e-07          -1.10759e+00
       18     3.33031e-05     1.10759e-07          -1.10759e+00
       19     3.30878e-06     1.10759e-07          -1.10759e+00
       20     4.55161e-06     1.10759e-07          -1.10759e+00
       21     1.23455e-06     1.10759e-07          -1.10759e+00
       22     1.37826e-06     1.10759e-07          -1.10759e+00
       23     7.59063e-07     1.10759e-07          -1.10759e+00
       24     2.05326e-07     1.10759e-07          -1.10759e+00
       25     8.88316e-08     1.10759e-07          -1.10759e+00
