    Step   Residual-2-norm     Threshold      Energy
        1     1.01637e+00     1.00000e-07          -1.19541e-01
        2     9.15896e-01     1.00000e-07          -4.03948e-01
        3     4.69487e-01     1.00000e-07          -9.45227e-01
        4     2.93447e-01     1.29635e-07          -1.29635e+00
        5     3.31396e-01     1.44425e-07          -1.44425e+00
        6     1.71844e-01     1.51710e-07          -1.51710e+00
        7     1.22890e-01     1.54843e-07          -1.54843e+00
        8     1.43583e-01     1.57604e-07          -1.57604e+00
        9     9.49333e-02     1.59652e-07          -1.59652e+00
       10     2.71908e-02     1.60319e-07          -1.60319e+00
       11     3.46715e-02     1.60550e-07          -1.60550e+00
       12     4.74588e-02     1.60690e-07          -1.60690e+00
       13     1.89039e-02     1.60809e-07          -1.60809e+00
       14     1.71770e-02     1.60878e-07          -1.60878e+00
       15     2.13793e-02     1.60921e-07          -1.60921e+00
       16     1.14011e-02     1.60950e-07          -1.60950e+00
       17     8.85512e-03     1.60965e-07          -1.60965e+00
       18     3.57791e-03     1.60975e-07          -1.60975e+00
       19     1.45803e-03     1.60979e-07          -1.60979e+00
       20     3.74242e-04     1.60979e-07          -1.60979e+00
       21     5.06043e-04     1.60979e-07          -1.60979e+00
       22     4.94840e-04     1.60979e-07          -1.60979e+00
       23     1.47128e-04     1.60979e-07          -1.60979e+00
       24     1.28180e-04     1.60979e-07          -1.60979e+00
       25     1.14532e-04     1.60979e-07          -1.60979e+00
       26     6.64799e-05     1.60979e-07          -1.60979e+00
       27     1.08755e-04     1.60979e-07          -1.60979e+00
       28     9.55444e-05     1.60979e-07          -1.60979e+00
       29     2.89797e-05     1.60979e-07          -1.60979e+00
       30     7.06005e-06     1.60979e-07          -1.60979e+00
       31     8.76393e-06     1.60979e-07          -1.60979e+00
       32     6.09054e-06     1.60979e-07          -1.60979e+00
       33     2.46954e-06     1.60979e-07          -1.60979e+00
       34     2.83833e-06     1.60979e-07          -1.60979e+00
       35     1.17653e-06     1.60979e-07          -1.60979e+00
       36     5.51146e-07     1.60979e-07          -1.60979e+00
       37     6.23527e-07     1.60979e-07          -1.60979e+00
       38     7.03168e-07     1.60979e-07          -1.60979e+00
       39     2.12326e-07     1.60979e-07          -1.60979e+00
       40     3.02999e-07     1.60979e-07          -1.60979e+00
       41     3.93431e-07     1.60979e-07          -1.60979e+00
       42     1.88382e-07     1.60979e-07          -1.60979e+00
       43     7.11912e-08     1.60979e-07          -1.60979e+00
