    Step   Residual-2-norm     Threshold      Energy
        1     9.49492e-01     1.00000e-07           3.35609e-03
        2     1.05951e+00     1.00000e-07          -2.94873e-01
        3     4.33277e-01     1.00000e-07          -9.44048e-01
        4     1.69704e-01     1.32534e-07          -1.32534e+00
        5     1.64665e-01     1.38336e-07          -1.38336e+00
        6     6.58700e-02     1.41499e-07          -1.41499e+00
        7     3.97305e-02     1.42074e-07          -1.42074e+00
        8     5.77581e-02     1.42551e-07          -1.42551e+00
        9     1.81014e-01     1.43276e-07          -1.43276e+00
       10     1.85328e-01     1.45541e-07          -1.45541e+00
       11     1.10239e-01     1.48508e-07          -1.48508e+00
       12     6.03704e-02     1.49864e-07          -1.49864e+00
       13     3.18718e-02     1.50263e-07          -1.50263e+00
       14     2.36598e-02     1.50458e-07          -1.50458e+00
       15     1.88604e-02     1.50502e-07          -1.50502e+00
       16     2.50775e-02     1.50556e-07          -1.50556e+00
       17     1.90570e-02     1.50607e-07          -1.50607e+00
       18     1.70695e-02     1.50645e-07          -1.50645e+00
       19     1.56239e-02     1.50680e-07          -1.50680e+00
       20     5.24387e-03     1.50697e-07          -1.50697e+00
       21     4.47245e-03     1.50704e-07          -1.50704e+00
       22     2.32256e-03     1.50705e-07          -1.50705e+00
       23     1.46089e-03     1.50706e-07          -1.50706e+00
       24     2.85550e-03     1.50706e-07          -1.50706e+00
       25     1.98551e-03     1.50707e-07          -1.50707e+00
       26     1.51273e-03     1.50707e-07          -1.50707e+00
       27     1.24757e-03     1.50708e-07          -1.50708e+00
       28     3.02329e-04     1.50708e-07          -1.50708e+00
       29     2.85504e-04     1.50708e-07          -1.50708e+00
       30     2.04821e-04     1.50708e-07          -1.50708e+00
       31     1.87322e-04     1.50708e-07          -1.50708e+00
       32     2.06270e-04     1.50708e-07          -1.50708e+00
       33     1.80384e-04     1.50708e-07          -1.50708e+00
       34     1.51092e-04     1.50708e-07          -1.50708e+00
       35     9.53272e-05     1.50708e-07          -1.50708e+00
       36     4.70763e-05     1.50708e-07          -1.50708e+00
       37     2.60513e-05     1.50708e-07          -1.50708e+00
       38     1.56489e-05     1.50708e-07          -1.50708e+00
       39     2.26768e-05     1.50708e-07          -1.50708e+00
       40     1.60977e-05     1.50708e-07          -1.50708e+00
       41     2.12044e-05     1.50708e-07          -1.50708e+00
       42     1.29403e-05     1.50708e-07          -1.50708e+00
       43     4.32152e-06     1.50708e-07          -1.50708e+00
       44     4.18780e-06     1.50708e-07          -1.50708e+00
       45     2.05827e-06     1.50708e-07          -1.50708e+00
       46     1.59743e-06     1.50708e-07          -1.50708e+00
       47     2.34170e-06     1.50708e-07          -1.50708e+00
       48     1.44221e-06     1.50708e-07          -1.50708e+00
       49     1.89496e-06     1.50708e-07          -1.50708e+00
       50     1.29951e-06     1.50708e-07          -1.50708e+00
       51     5.05284e-07     1.50708e-07          -1.50708e+00
       52     3.75710e-07     1.50708e-07          -1.50708e+00
       53     2.07869e-07     1.50708e-07          -1.50708e+00
       54     1.51112e-07     1.50708e-07          -1.50708e+00
       55     1.53878e-07     1.50708e-07          -1.50708e+00
       56     1.89951e-07     1.50708e-07          -1.50708e+00
       57     1.50261e-07     1.50708e-07          -1.50708e+00
