    Step   Residual-2-norm     Threshold      Energy
        1     1.01457e+00     1.00000e-07           8.58418e-02
        2     1.19393e+00     1.00000e-07          -2.86872e-01
        3     4.92877e-01     1.00797e-07          -1.00797e+00
        4     1.81699e-01     1.40337e-07          -1.40337e+00
        5     2.85241e-01     1.48466e-07          -1.48466e+00
        6     1.56530e-01     1.53359e-07          -1.53359e+00
        7     1.87331e-01     1.56056e-07          -1.56056e+00
        8     3.05584e-01     1.66978e-07          -1.66978e+00
        9     1.49285e-01     1.77910e-07          -1.77910e+00
       10     7.63900e-02     1.79789e-07          -1.79789e+00
       11     2.26367e-02     1.80695e-07          -1.80695e+00
       12     1.77963e-02     1.80979e-07          -1.80979e+00
       13     1.42712e-02     1.81000e-07          -1.81000e+00
       14     5.43937e-03     1.81021e-07          -1.81021e+00
       15     3.28302e-03     1.81034e-07          -1.81034e+00
       16     2.47033e-03     1.81035e-07          -1.81035e+00
       17     4.19731e-04     1.81036e-07          -1.81036e+00
       18     2.94022e-04     1.81036e-07          -1.81036e+00
       19     3.50404e-04     1.81036e-07          -1.81036e+00
       20     1.38463e-04     1.81036e-07          -1.81036e+00
       21     8.16267e-05     1.81036e-07          -1.81036e+00
       22     5.16087e-05     1.81036e-07          -1.81036e+00
       23     1.96732e-05     1.81036e-07          -1.81036e+00
       24     5.41018e-06     1.81036e-07          -1.81036e+00
       25     4.62868e-06     1.81036e-07          -1.81036e+00
       26     3.66647e-06     1.81036e-07          -1.81036e+00
       27     2.06095e-06     1.81036e-07          -1.81036e+00
       28     4.41648e-07     1.81036e-07          -1.81036e+00
       29     2.45514e-07     1.81036e-07          -1.81036e+00
       30     1.34263e-07     1.81036e-07          -1.81036e+00
