    Step   Residual-2-norm     Threshold      Energy
        1     1.10839e+00     1.00000e-07           1.70466e-01
        2     1.35809e+00     1.00000e-07          -3.11711e-01
        3     5.69201e-01     1.15038e-07          -1.15038e+00
        4     2.28000e-01     1.57235e-07          -1.57235e+00
        5     2.83513e-01     1.67721e-07          -1.67721e+00
        6     1.79971e-01     1.73114e-07          -1.73114e+00
        7     2.56475e-01     1.76146e-07          -1.76146e+00
        8     3.52756e-01     1.90287e-07          -1.90287e+00
        9     1.80487e-01     2.04466e-07          -2.04466e+00
       10     8.84787e-02     2.06841e-07          -2.06841e+00
       11     2.53999e-02     2.07868e-07          -2.07868e+00
       12     2.09936e-02     2.08153e-07          -2.08153e+00
       13     1.85168e-02     2.08181e-07          -2.08181e+00
       14     6.16389e-03     2.08205e-07          -2.08205e+00
       15     2.95720e-03     2.08219e-07          -2.08219e+00
       16     2.33537e-03     2.08220e-07          -2.08220e+00
       17     4.61850e-04     2.08221e-07          -2.08221e+00
       18     3.29492e-04     2.08221e-07          -2.08221e+00
       19     3.46518e-04     2.08221e-07          -2.08221e+00
       20     1.60394e-04     2.08221e-07          -2.08221e+00
       21     7.21926e-05     2.08221e-07          -2.08221e+00
       22     3.44043e-05     2.08221e-07          -2.08221e+00
       23     1.53883e-05     2.08221e-07          -2.08221e+00
       24     5.68040e-06     2.08221e-07          -2.08221e+00
       25     4.61499e-06     2.08221e-07          -2.08221e+00
       26     2.91198e-06     2.08221e-07          -2.08221e+00
       27     2.03180e-06     2.08221e-07          -2.08221e+00
       28     2.98252e-07     2.08221e-07          -2.08221e+00
       29     1.58114e-07     2.08221e-07          -2.08221e+00
