    Step   Residual-2-norm     Threshold      Energy
        1     8.99278e-01     1.00000e-07          -6.71547e-02
        2     8.62851e-01     1.00000e-07          -2.95982e-01
        3     3.52917e-01     1.00000e-07          -8.38699e-01
        4     1.00261e-01     1.16643e-07          -1.16643e+00
        5     2.01223e-01     1.20728e-07          -1.20728e+00
        6     7.65657e-02     1.24043e-07          -1.24043e+00
        7     8.43790e-02     1.25063e-07          -1.25063e+00
        8     1.15625e-01     1.29409e-07          -1.29409e+00
        9     5.06711e-02     1.33524e-07          -1.33524e+00
       10     3.39952e-02     1.33834e-07          -1.33834e+00
       11     7.72471e-03     1.34076e-07          -1.34076e+00
       12     5.85375e-03     1.34185e-07          -1.34185e+00
       13     3.91690e-03     1.34187e-07          -1.34187e+00
       14     2.63270e-03     1.34191e-07          -1.34191e+00
       15     1.32200e-03     1.34194e-07          -1.34194e+00
       16     1.37073e-03     1.34195e-07          -1.34195e+00
       17     5.16130e-04     1.34195e-07          -1.34195e+00
       18     6.43891e-05     1.34195e-07          -1.34195e+00
       19     1.00718e-04     1.34195e-07          -1.34195e+00
       20     6.47008e-05     1.34195e-07          -1.34195e+00
       21     2.43825e-05     1.34195e-07          -1.34195e+00
       22     3.66171e-05     1.34195e-07          -1.34195e+00
       23     9.50707e-06     1.34195e-07          -1.34195e+00
       24     1.28909e-06     1.34195e-07          -1.34195e+00
       25     1.82117e-06     1.34195e-07          -1.34195e+00
       26     1.31790e-06     1.34195e-07          -1.34195e+00
       27     4.95347e-07     1.34195e-07          -1.34195e+00
       28     6.27713e-07     1.34195e-07          -1.34195e+00
       29     2.96030e-07     1.34195e-07          -1.34195e+00
       30     3.55872e-08     1.34195e-07          -1.34195e+00
