    Step   Residual-2-norm     Threshold      Energy
        1     8.72411e-01     1.00000e-07          -2.81897e-01
        2     5.49484e-01     1.00000e-07          -4.38546e-01
        3     3.51950e-01     1.00000e-07          -8.02280e-01
        4     3.12266e-01     1.11839e-07          -1.11839e+00
        5     3.25081e-01     1.29101e-07          -1.29101e+00
        6     9.22391e-02     1.36993e-07          -1.36993e+00
        7     2.55716e-02     1.39269e-07          -1.39269e+00
        8     1.49722e-02     1.40033e-07          -1.40033e+00
        9     2.98424e-03     1.40055e-07          -1.40055e+00
       10     1.43624e-03     1.40059e-07          -1.40059e+00
       11     1.25654e-03     1.40059e-07          -1.40059e+00
       12     2.42097e-04     1.40060e-07          -1.40060e+00
       13     7.70024e-05     1.40060e-07          -1.40060e+00
       14     5.06427e-05     1.40060e-07          -1.40060e+00
       15     1.14002e-05     1.40060e-07          -1.40060e+00
       16     5.95996e-06     1.40060e-07          -1.40060e+00
       17     4.36982e-06     1.40060e-07          -1.40060e+00
       18     5.75024e-07     1.40060e-07          -1.40060e+00
       19     2.31211e-07     1.40060e-07          -1.40060e+00
       20     1.77621e-07     1.40060e-07          -1.40060e+00
       21     4.85701e-08     1.40060e-07          -1.40060e+00
